first_order_month,months_since,cohort_city,n_active,n_cohort,retention_pct
2016-10-01,0,sao paulo,30,30,1
2016-10-01,0,senador canedo,1,1,1
2016-10-01,0,serra negra,1,1,1
2016-10-01,0,sertaozinho,1,1,1
2016-10-01,0,siqueira campos,1,1,1
2016-10-01,0,sobral,1,1,1
2016-10-01,0,soledade de minas,1,1,1
2016-10-01,0,sorocaba,1,1,1
2016-10-01,0,suzano,2,2,1
2016-10-01,0,tapejara,1,1,1
2016-10-01,0,tatui,1,1,1
2016-10-01,0,taubate,3,3,1
2016-10-01,0,teresina,1,1,1
2016-10-01,0,uberlandia,2,2,1
2016-10-01,0,valinhos,1,1,1
2016-10-01,0,vargem,1,1,1
2016-10-01,0,varginha,2,2,1
2016-10-01,0,vila velha,1,1,1
2016-10-01,0,xanxere,1,1,1
2016-10-01,6,campos do jordao,1,1,1
2016-10-01,9,rio de janeiro,1,27,0.037037037037037035
2016-10-01,11,sao paulo,1,30,0.033333333333333333
2016-10-01,13,gaspar,1,1,1
2016-10-01,15,sao paulo,1,30,0.033333333333333333
2016-10-01,17,rio de janeiro,1,27,0.037037037037037035
2016-10-01,19,capim branco,1,1,1
2016-10-01,19,juiz de fora,1,2,0.5
2016-10-01,20,goiania,1,4,0.25
2016-10-01,20,sao paulo,1,30,0.033333333333333333
2016-12-01,0,curitiba,1,1,1
2016-12-01,1,curitiba,1,1,1
2017-01-01,0,agua boa,1,1,1
2017-01-01,0,alpinopolis,1,1,1
2017-01-01,0,alvinopolis,1,1,1
2017-01-01,0,ananindeua,1,1,1
2017-01-01,0,andradina,1,1,1
2017-01-01,0,angatuba,1,1,1
2017-01-01,0,angra dos reis,2,2,1
2017-01-01,0,aparecida de goiania,1,1,1
2017-01-01,0,aracaju,2,2,1
2017-01-01,0,aracitaba,1,1,1
2017-01-01,0,ararangua,1,1,1
2017-01-01,0,araraquara,1,1,1
2017-01-01,0,araucaria,1,1,1
2017-01-01,0,araujos,1,1,1
2017-01-01,0,araxa,1,1,1
2017-01-01,0,areias,1,1,1
2017-01-01,0,ariranha,1,1,1
2017-01-01,0,aruja,1,1,1
2017-01-01,0,atibaia,2,2,1
2017-01-01,0,aurora,1,1,1
2017-01-01,0,balneario camboriu,1,1,1
2017-01-01,0,barao de cocais,1,1,1
2017-01-01,0,barbacena,1,1,1
2017-01-01,0,bariri,1,1,1
2017-01-01,0,barra do garcas,1,1,1
2017-01-01,0,barra mansa,1,1,1
2017-01-01,0,barretos,1,1,1
2017-01-01,0,bastos,1,1,1
2017-01-01,0,bauru,1,1,1
2017-01-01,0,belem,5,5,1
2017-01-01,0,belo horizonte,16,16,1
2017-01-01,0,bento goncalves,1,1,1
2017-01-01,0,blumenau,2,2,1
2017-01-01,0,boa esperanca,1,1,1
2017-01-01,0,boa vista das missoes,1,1,1
2017-01-01,0,boa vista do gurupi,1,1,1
2017-01-01,0,bocaiuva,1,1,1
2017-01-01,0,bom jesus dos perdoes,1,1,1
2017-01-01,0,botucatu,1,1,1
2017-01-01,0,braganca paulista,1,1,1
2017-01-01,0,brasilia,13,13,1
2017-01-01,0,brotas,1,1,1
2017-01-01,0,buriticupu,1,1,1
2017-01-01,0,cacapava,2,2,1
2017-01-01,0,cachoeira de minas,1,1,1
2017-01-01,0,cachoeirinha,2,2,1
2017-01-01,0,cachoeiro de itapemirim,1,1,1
2017-01-01,0,caieiras,1,1,1
2017-01-01,0,camaragibe,1,1,1
2017-01-01,0,campinas,7,7,1
2017-01-01,0,campo bom,1,1,1
2017-01-01,0,campo grande,1,1,1
2017-01-01,0,campo limpo paulista,1,1,1
2017-01-01,0,campos borges,1,1,1
2017-01-01,0,campos do jordao,1,1,1
2017-01-01,0,campos dos goytacazes,1,1,1
2017-01-01,0,canoas,3,3,1
2017-01-01,0,capivari,2,2,1
2017-01-01,0,caraguatatuba,1,1,1
2017-01-01,0,caratinga,2,2,1
2017-01-01,0,cardoso,1,1,1
2017-01-01,0,carmo,1,1,1
2017-01-01,0,carmo do cajuru,1,1,1
2017-01-01,0,carpina,1,1,1
2017-01-01,0,carrancas,1,1,1
2017-01-01,0,caruaru,1,1,1
2017-01-01,0,cascavel,2,2,1
2017-01-01,0,castanhal,1,1,1
2017-01-01,0,catole do rocha,1,1,1
2017-01-01,0,caucaia,1,1,1
2017-01-01,0,caxias do sul,2,2,1
2017-01-01,0,cesario lange,1,1,1
2017-01-01,0,cha grande,1,1,1
2017-01-01,0,cianorte,1,1,1
2017-01-01,0,cocal do sul,1,1,1
2017-01-01,0,colonia leopoldina,1,1,1
2017-01-01,0,comendador levy gasparian,1,1,1
2017-01-01,0,conceicao do araguaia,1,1,1
2017-01-01,0,conceicao do tocantins,1,1,1
2017-01-01,0,congonhas,1,1,1
2017-01-01,0,conselheiro lafaiete,1,1,1
2017-01-01,0,contagem,3,3,1
2017-01-01,0,cornelio procopio,1,1,1
2017-01-01,0,coronel fabriciano,2,2,1
2017-01-01,0,cotia,2,2,1
2017-01-01,0,cravinhos,1,1,1
2017-01-01,0,criciuma,1,1,1
2017-01-01,0,cristais paulista,1,1,1
2017-01-01,0,crixas,1,1,1
2017-01-01,0,cruzeiro da fortaleza,1,1,1
2017-01-01,0,cuiaba,4,4,1
2017-01-01,0,curaca,1,1,1
2017-01-01,0,curitiba,23,23,1
2017-01-01,0,divinopolis,2,2,1
2017-01-01,0,dois vizinhos,1,1,1
2017-01-01,0,dom pedrito,1,1,1
2017-01-01,0,duque de caxias,5,5,1
2017-01-01,0,embu,1,1,1
2017-01-01,0,embu-guacu,1,1,1
2017-01-01,0,encruzilhada do sul,1,1,1
2017-01-01,0,esteio,1,1,1
2017-01-01,0,extrema,1,1,1
2017-01-01,0,fatima,1,1,1
2017-01-01,0,faxinal,1,1,1
2017-01-01,0,faxinalzinho,1,1,1
2017-01-01,0,feira de santana,3,3,1
2017-01-01,0,feliz,1,1,1
2017-01-01,0,flores,1,1,1
2017-01-01,0,floriano,1,1,1
2017-01-01,0,florianopolis,3,3,1
2017-01-01,0,formiga,1,1,1
2017-01-01,0,formigueiro,1,1,1
2017-01-01,0,fortaleza,5,5,1
2017-01-01,0,foz do iguacu,1,1,1
2017-01-01,0,franca,2,2,1
2017-01-01,0,francisco morato,1,1,1
2017-01-01,0,franco da rocha,2,2,1
2017-01-01,0,frederico westphalen,1,1,1
2017-01-01,0,fundao,1,1,1
2017-01-01,0,goiania,6,6,1
2017-01-01,0,gouveia,1,1,1
2017-01-01,0,governador valadares,1,1,1
2017-01-01,0,gravatai,2,2,1
2017-01-01,0,guapimirim,1,1,1
2017-01-01,0,guararema,1,1,1
2017-01-01,0,guaratingueta,2,2,1
2017-01-01,0,guaratuba,1,1,1
2017-01-01,0,guaruja,6,6,1
2017-01-01,0,guarulhos,6,6,1
2017-01-01,0,holambra,2,2,1
2017-01-01,0,hortolandia,1,1,1
2017-01-01,0,iapu,1,1,1
2017-01-01,0,ibirite,2,2,1
2017-01-01,0,ibiuna,1,1,1
2017-01-01,0,iconha,1,1,1
2017-01-01,0,indaiatuba,3,3,1
2017-01-01,0,inhambupe,1,1,1
2017-01-01,0,ipatinga,2,2,1
2017-01-01,0,ipaussu,1,1,1
2017-01-01,0,ipora,1,1,1
2017-01-01,0,irece,1,1,1
2017-01-01,0,itabaiana,1,1,1
2017-01-01,0,itaberaba,1,1,1
2017-01-01,0,itabira,4,4,1
2017-01-01,0,itaborai,2,2,1
2017-01-01,0,itabuna,1,1,1
2017-01-01,0,itaipava,1,1,1
2017-01-01,0,itajai,1,1,1
2017-01-01,0,itajuba,3,3,1
2017-01-01,0,itamarandiba,1,1,1
2017-01-01,0,itaocara,1,1,1
2017-01-01,0,itapecerica da serra,1,1,1
2017-01-01,0,itapema,1,1,1
2017-01-01,0,itapetininga,1,1,1
2017-01-01,0,itapevi,5,5,1
2017-01-01,0,itaquaquecetuba,1,1,1
2017-01-01,0,itatiba,1,1,1
2017-01-01,0,itu,1,1,1
2017-01-01,0,ituporanga,1,1,1
2017-01-01,0,jacarei,1,1,1
2017-01-01,0,jales,1,1,1
2017-01-01,0,jambeiro,1,1,1
2017-01-01,0,jandira,3,3,1
2017-01-01,0,janiopolis,1,1,1
2017-01-01,0,jaragua do sul,1,1,1
2017-01-01,0,jari,1,1,1
2017-01-01,0,jarinu,1,1,1
2017-01-01,0,jatai,2,2,1
2017-01-01,0,jequie,1,1,1
2017-01-01,0,joao pessoa,1,1,1
2017-01-01,0,joinville,1,1,1
2017-01-01,0,juazeiro,1,1,1
2017-01-01,0,juiz de fora,3,3,1
2017-01-01,0,jundiai,5,5,1
2017-01-01,0,juvenilia,1,1,1
2017-01-01,0,lages,1,1,1
2017-01-01,0,lagoa santa,1,1,1
2017-01-01,0,lajeado,1,1,1
2017-01-01,0,laranjal paulista,1,1,1
2017-01-01,0,lauro de freitas,1,1,1
2017-01-01,0,lavras,1,1,1
2017-01-01,0,limeira,1,1,1
2017-01-01,0,lins,1,1,1
2017-01-01,0,loanda,1,1,1
2017-01-01,0,londrina,1,1,1
2017-01-01,0,lorena,1,1,1
2017-01-01,0,mage,1,1,1
2017-01-01,0,mairinque,1,1,1
2017-01-01,0,mangueirinha,1,1,1
2017-01-01,0,manhuacu,1,1,1
2017-01-01,0,mantena,1,1,1
2017-01-01,0,mariana,1,1,1
2017-01-01,0,marica,1,1,1
2017-01-01,0,marilia,3,3,1
